> Croatia
17.0731 46.2033
17.0772 46.2017
17.0803 46.1989
17.0831 46.1964
17.0875 46.1956
17.0942 46.195
17.0983 46.1931
17.1006 46.1903
17.1014 46.1867
17.1033 46.1836
17.1086 46.1825
17.1128 46.1839
17.1158 46.1864
17.1194 46.1875
17.1236 46.1858
17.1253 46.1825
17.1272 46.1794
17.1308 46.1772
17.1358 46.1783
17.1394 46.1803
17.1436 46.1817
17.1497 46.1817
17.1539 46.18
17.1575 46.1778
17.1597 46.175
17.1597 46.1708
17.1603 46.1669
17.1639 46.165
17.1683 46.1631
17.1728 46.1614
17.1764 46.1592
17.18 46.1572
17.1828 46.1547
17.1855 46.1519
17.1869 46.1486
17.1858 46.1447
17.1825 46.1422
17.1794 46.1397
17.1775 46.1361
17.1783 46.1325
17.1803 46.1294
17.1803 46.1253
17.1783 46.122
17.1769 46.1178
17.1778 46.1142
17.1828 46.1128
17.1881 46.1131
17.1925 46.1144
17.1961 46.1167
17.1997 46.1183
17.2047 46.1197
17.2097 46.1183
17.2089 46.1183
17.2097 46.1183
17.2133 46.1158
17.2147 46.1128
17.2147 46.1086
17.2145 46.1044
17.2203 46.1036
17.2261 46.1022
17.2305 46.1008
17.23 46.0972
17.2261 46.0953
17.2208 46.0947
17.2161 46.0939
17.2117 46.0922
17.2069 46.0914
17.2028 46.0897
17.1983 46.0883
17.1967 46.0844
17.1986 46.0817
17.2039 46.0803
17.2086 46.0814
17.2139 46.0817
17.2183 46.0836
17.2231 46.0844
17.2278 46.0856
17.2344 46.085
17.2394 46.0836
17.2394 46.0803
17.2386 46.0758
17.2356 46.0733
17.2331 46.0703
17.2294 46.0681
17.2283 46.0653
17.2311 46.0625
17.2364 46.0622
17.2422 46.0622
17.2483 46.0622
17.2536 46.0625
17.2592 46.0628
17.265 46.0628
17.2694 46.0611
17.2669 46.0583
17.2625 46.0567
17.2583 46.0553
17.2547 46.0533
17.2522 46.0503
17.2503 46.0464
17.25 46.0422
17.2514 46.0389
17.2558 46.0369
17.2611 46.0375
17.2667 46.0381
17.2731 46.0375
17.2792 46.0375
17.2856 46.0369
17.2922 46.0364
17.2981 46.0353
17.3008 46.0328
17.2983 46.0297
17.2942 46.0283
17.2892 46.0272
17.2839 46.0269
17.2786 46.0264
17.2731 46.0258
17.2678 46.0256
17.2631 46.0244
17.2586 46.0231
17.2556 46.0206
17.2569 46.0172
17.26 46.0147
17.2636 46.0125
17.2678 46.0108
17.2744 46.0103
17.2792 46.0111
17.2844 46.0117
17.2894 46.0125
17.2947 46.0131
17.3 46.0136
17.3047 46.0128
17.3075 46.0097
17.307 46.0064
17.3036 46.0039
17.3017 46.0005
17.3012 46
17.2992 45.9975
17.2972 45.9939
17.2986 45.9906
17.3031 45.9889
17.307 45.9875
17.3111 45.9892
17.3147 45.9911
17.3189 45.9925
17.3239 45.9911
17.3247 45.9875
17.3222 45.9845
17.3192 45.9819
17.3147 45.9806
17.3111 45.9786
17.3114 45.9753
17.3164 45.9747
17.3206 45.9744
17.3203 45.9742
17.3225 45.9756
17.3264 45.9778
17.3294 45.9803
17.3314 45.9836
17.3314 45.9878
17.3314 45.9919
17.335 45.9939
17.3394 45.9922
17.3417 45.9892
17.3436 45.9864
17.3458 45.9833
17.3503 45.9817
17.3561 45.9817
17.3569 45.9861
17.3564 45.9897
17.3569 45.9944
17.3597 45.9975
17.365 45.9978
17.3686 45.9958
17.3692 45.9919
17.3672 45.9883
17.3664 45.9839
17.3695 45.9811
17.3714 45.9783
17.3683 45.9758
17.3642 45.9744
17.3636 45.9717
17.3703 45.9711
17.3756 45.9717
17.3808 45.9722
17.3867 45.9711
17.3881 45.9678
17.385 45.9653
17.3797 45.9647
17.3739 45.9658
17.3672 45.9664
17.3619 45.9658
17.3578 45.9644
17.3536 45.9631
17.3469 45.9633
17.3433 45.9614
17.3456 45.9586
17.3483 45.9561
17.3511 45.9533
17.3542 45.9519
17.3586 45.95
17.3622 45.9519
17.3658 45.9542
17.3695 45.9561
17.3731 45.9581
17.3786 45.9586
17.3814 45.9558
17.3831 45.9536
17.3839 45.9517
17.3847 45.9478
17.3861 45.9444
17.3875 45.9411
17.3894 45.938
17.3947 45.9378
17.3989 45.9392
17.4025 45.9411
17.4064 45.9431
17.4103 45.9428
17.4122 45.94
17.4145 45.9369
17.4181 45.9347
17.4233 45.9344
17.4275 45.9358
17.4317 45.9372
17.4347 45.9397
17.4342 45.9436
17.4319 45.9464
17.43 45.9494
17.4278 45.9525
17.4261 45.9547
17.4311 45.9558
17.4364 45.9564
17.4419 45.9567
17.4478 45.9567
17.4536 45.9558
17.4586 45.9544
17.4631 45.9525
17.4672 45.9508
17.4717 45.9492
17.4767 45.9478
17.4831 45.9472
17.4886 45.9475
17.4939 45.9481
17.4994 45.9486
17.5053 45.9486
17.5117 45.9481
17.5161 45.9461
17.5206 45.9444
17.5247 45.9428
17.5297 45.9414
17.5364 45.9408
17.5422 45.9397
17.5481 45.9397
17.5539 45.9397
17.5589 45.9406
17.5647 45.9406
17.5703 45.9411
17.5767 45.9406
17.5811 45.9386
17.5853 45.9369
17.5889 45.9347
17.5917 45.9322
17.5939 45.9292
17.5967 45.9267
17.5995 45.9242
17.6017 45.9211
17.6053 45.9192
17.6089 45.9169
17.6125 45.9147
17.6161 45.9125
17.6197 45.9106
17.6225 45.9078
17.6261 45.9058
17.6289 45.9031
17.6317 45.9006
17.6344 45.8981
17.6375 45.8956
17.6403 45.893
17.6425 45.89
17.6444 45.8869
17.6458 45.8836
17.6481 45.8806
17.6494 45.8775
17.65 45.8736
17.6506 45.8697
17.6514 45.8658
17.6511 45.8617
17.6519 45.8583
17.6525 45.8544
17.6531 45.8508
17.6544 45.8475
17.6558 45.8439
17.6572 45.8408
17.66 45.8383
17.6644 45.8364
17.6694 45.835
17.6753 45.835
17.6803 45.8358
17.6844 45.8372
17.6892 45.8383
17.6944 45.8381
17.6986 45.8358
17.7022 45.8342
17.7058 45.8317
17.7108 45.8303
17.7161 45.8292
17.7217 45.8281
17.7278 45.8281
17.7336 45.8281
17.7403 45.8275
17.7453 45.8261
17.7494 45.8244
17.7531 45.8222
17.7575 45.8203
17.7625 45.8192
17.7675 45.8178
17.7739 45.8169
17.7786 45.8172
17.7845 45.8169
17.7894 45.8155
17.7931 45.8136
17.7961 45.8108
17.7995 45.8086
17.8044 45.8072
17.8103 45.8064
17.8153 45.8072
17.8189 45.8094
17.8236 45.81
17.8289 45.8108
17.8319 45.8083
17.8317 45.8042
17.8322 45.8003
17.8336 45.7969
17.8367 45.7944
17.84 45.7922
17.8444 45.7906
17.8494 45.7892
17.8531 45.7869
17.855 45.7839
17.8564 45.7806
17.8572 45.7769
17.8578 45.7731
17.8597 45.7703
17.8633 45.7678
17.8689 45.7686
17.8719 45.7711
17.8739 45.7744
17.8758 45.7781
17.8778 45.7814
17.8808 45.7839
17.8844 45.7855
17.8889 45.7875
17.893 45.7889
17.8972 45.7903
17.9014 45.7919
17.908 45.7911
17.9131 45.7897
17.9172 45.7881
17.9225 45.7867
17.9283 45.7867
17.9331 45.7875
17.9386 45.7881
17.9428 45.7894
17.9469 45.7908
17.9522 45.7914
17.9575 45.7908
17.9619 45.7892
17.9678 45.7892
17.9725 45.79
17.9775 45.7908
17.9822 45.7919
17.9881 45.7919
17.9942 45.7917
18 45.7917
18.0042 45.79
18.0064 45.7869
18.0092 45.7842
18.0128 45.7822
18.0178 45.7808
18.0236 45.7797
18.0294 45.7789
18.0358 45.7783
18.0408 45.7769
18.0467 45.7758
18.0517 45.7744
18.0567 45.7731
18.0608 45.7714
18.0653 45.7692
18.0703 45.7678
18.0761 45.7672
18.0825 45.7667
18.0883 45.7664
18.0928 45.7678
18.0975 45.7689
18.1011 45.7706
18.105 45.7728
18.1086 45.7747
18.1122 45.7767
18.1158 45.7786
18.1194 45.7808
18.1239 45.7822
18.1281 45.7836
18.1328 45.7842
18.1372 45.7861
18.1419 45.7869
18.1472 45.7875
18.1533 45.7869
18.1575 45.7855
18.1611 45.7833
18.1653 45.7814
18.1703 45.7803
18.1758 45.7806
18.1794 45.7825
18.1836 45.7839
18.1892 45.7842
18.1956 45.7839
18.2019 45.7833
18.2078 45.7822
18.2142 45.7814
18.2208 45.7811
18.2258 45.7797
18.2308 45.7783
18.2344 45.7761
