> Slovenia
15.718500 45.958027
15.717556 45.947971
15.714889 45.939556
15.709833 45.931332
15.706695 45.924835
15.704028 45.919334
15.697639 45.912334
15.697416 45.912083
15.697000 45.911278
15.692639 45.902748
15.692555 45.901974
15.691916 45.895943
15.693027 45.889805
15.693139 45.889111
15.694555 45.880501
15.692750 45.874027
15.693694 45.865807
15.692000 45.861584
15.690556 45.858028
15.690084 45.857471
15.685583 45.852360
15.683028 45.850750
15.679222 45.848389
15.666472 45.840443
15.659639 45.837112
15.651167 45.836388
15.643027 45.835667
15.629750 45.837166
15.621555 45.838085
15.598611 45.835415
15.588166 45.836082
15.576056 45.836777
15.563916 45.831890
15.553638 45.829082
15.543305 45.826500
15.531722 45.820751
15.523750 45.816582
15.513945 45.808971
15.508417 45.803001
15.499278 45.792667
15.492278 45.784443
15.486694 45.778694
15.475778 45.771610
15.467472 45.767418
15.458777 45.766388
15.454611 45.765999
15.447111 45.765278
15.431666 45.764610
15.426583 45.763943
15.418500 45.762859
15.402111 45.759304
15.390111 45.755360
15.379167 45.751278
15.368472 45.748859
15.358250 45.744415
15.349083 45.739861
15.338028 45.733471
15.329667 45.728306
15.319777 45.722527
15.310667 45.716331
15.307750 45.712002
15.305056 45.708027
15.304389 45.699833
15.306945 45.693417
15.310194 45.688221
15.316278 45.683613
15.335222 45.684696
15.335722 45.684750
15.351000 45.686554
15.366889 45.690750
15.382250 45.690224
15.395083 45.686417
15.401972 45.682583
15.407833 45.677471
15.410389 45.669666
15.410806 45.663696
15.408972 45.652111
15.405972 45.645805
15.404778 45.643276
15.398723 45.638138
15.396528 45.636276
15.381667 45.634777
15.363389 45.635166
15.354639 45.635777
15.346528 45.636444
15.344889 45.636360
15.336722 45.635971
15.335917 45.635387
15.323750 45.626556
15.318139 45.621029
15.317416 45.619026
15.313778 45.608917
15.311833 45.599194
15.311306 45.593113
15.312028 45.587387
15.315222 45.578278
15.321445 45.566250
15.326639 45.561085
15.327444 45.560528
15.335333 45.555138
15.343667 45.550804
15.353222 45.546833
15.355750 45.545971
15.361834 45.543915
15.369194 45.540833
15.378417 45.536835
15.380250 45.535526
15.381389 45.534721
15.390750 45.528084
15.394944 45.521610
15.396500 45.512306
15.396361 45.510307
15.396083 45.505749
15.392944 45.496807
15.388945 45.491470
15.382055 45.484417
15.373750 45.477280
15.373305 45.476891
15.362083 45.470001
15.353056 45.465000
15.347500 45.462250
15.340083 45.458584
15.338778 45.458195
15.337250 45.457748
15.328611 45.455250
15.325277 45.454277
15.310555 45.453693
15.305500 45.452888
15.298805 45.451832
15.288694 45.454113
15.277083 45.454361
15.264028 45.452362
15.260583 45.451363
15.254472 45.449585
15.254000 45.449249
15.248305 45.445137
15.238277 45.437473
15.229694 45.430946
15.227417 45.429222
15.217750 45.424110
15.204000 45.420277
15.201694 45.419640
15.191916 45.417778
15.181889 45.417057
15.167250 45.413445
15.160277 45.413277
15.155139 45.413139
15.145695 45.415249
15.136528 45.421806
15.131250 45.427193
15.121305 45.434113
15.111389 45.441029
15.105695 45.449390
15.101556 45.454224
15.101139 45.454723
15.096416 45.460335
15.090639 45.467751
15.090195 45.468582
15.089167 45.470501
15.087028 45.474529
15.081972 45.482944
15.081944 45.482971
15.074278 45.488750
15.059889 45.489723
15.059500 45.489750
15.051444 45.488998
15.043472 45.486416
15.030806 45.484196
15.022278 45.486610
15.018750 45.487610
15.003834 45.495667
15.003361 45.495918
15.000000 45.497723
14.994889 45.506779
14.987972 45.509804
14.982056 45.513279
14.976833 45.516918
14.973416 45.518890
14.968500 45.522530
14.961667 45.526722
14.956306 45.528999
14.950277 45.531082
14.945861 45.532639
14.944500 45.532501
14.937944 45.531807
14.934556 45.530361
14.931194 45.528889
14.927750 45.526749
14.927722 45.526695
14.925056 45.522026
14.924027 45.517029
14.923417 45.514084
14.923083 45.509998
14.923083 45.508835
14.923111 45.506332
14.922611 45.500389
14.921722 45.497444
14.918612 45.491611
14.913806 45.484722
14.913472 45.484417
14.908500 45.479889
14.902139 45.475555
14.900917 45.474724
14.892750 45.470470
14.884361 45.467609
14.869833 45.465221
14.864583 45.464832
14.858027 45.464333
14.852555 45.465443
14.846639 45.464554
14.837694 45.462860
14.831778 45.462418
14.824750 45.463833
14.824028 45.463974
14.821527 45.464417
14.816222 45.467167
14.811584 45.470333
14.798862 45.486168
14.794917 45.489777
14.792666 45.492001
14.788861 45.495750
14.781250 45.502724
14.775805 45.507721
14.770750 45.513638
14.769944 45.514278
14.764916 45.518223
14.748000 45.526695
14.734889 45.529945
14.733806 45.530224
14.724000 45.532665
14.720388 45.533611
14.715694 45.534832
14.706778 45.537472
14.701167 45.540890
14.692250 45.547527
14.689472 45.549610
14.689278 45.555557
14.689584 45.559307
14.689750 45.561527
14.689834 45.562416
14.690500 45.566971
14.688639 45.572083
14.684611 45.578888
14.680611 45.582001
14.675056 45.586113
14.667500 45.590416
14.667250 45.590557
14.659223 45.592472
14.655833 45.593887
14.651944 45.595554
14.649111 45.596748
14.642861 45.600193
14.639028 45.603943
14.636778 45.606167
14.632833 45.609749
14.632222 45.610527
14.628361 45.615417
14.627973 45.616470
14.624861 45.624722
14.622027 45.630306
14.619750 45.634750
14.616972 45.636917
14.611889 45.638721
14.606000 45.638500
14.601973 45.637280
14.595250 45.634998
14.588056 45.630695
14.579556 45.622082
14.578167 45.620083
14.576612 45.617863
14.570639 45.608250
14.565722 45.599499
14.563444 45.591110
14.558888 45.582806
14.555500 45.576973
14.555223 45.574390
14.554334 45.566250
14.553805 45.563972
14.552889 45.560139
14.551084 45.553780
14.547722 45.547974
14.541805 45.539028
14.540000 45.532444
14.539583 45.522861
14.539278 45.518749
14.539222 45.513695
14.539667 45.507057
14.539611 45.502029
14.535250 45.495998
14.527111 45.491943
14.524333 45.491196
14.513306 45.488167
14.513139 45.488110
14.500527 45.485390
14.491361 45.484859
14.483833 45.484417
14.477583 45.483501
14.467639 45.481361
14.457417 45.479668
14.445917 45.478500
14.442639 45.478390
14.436028 45.477028
14.427389 45.474834
14.425028 45.473972
14.414083 45.470028
14.413500 45.469833
14.410639 45.468807
14.406667 45.467804
14.398945 45.466694
14.397778 45.466526
14.391167 45.465389
14.374361 45.462807
14.359639 45.461971
14.339000 45.460415
14.327917 45.460361
14.316972 45.461887
14.309694 45.462002
14.305250 45.462082
14.289444 45.464500
14.278250 45.465248
14.275194 45.465443
14.274861 45.465473
14.262555 45.466583
14.248111 45.467804
14.248000 45.467804
14.236584 45.467777
14.235278 45.467777
14.223000 45.469139
14.218833 45.469501
14.214583 45.469891
14.210083 45.470722
14.204361 45.472363
14.199223 45.473862
14.195056 45.474194
14.189167 45.474667
14.189055 45.474667
14.179055 45.474335
14.166667 45.474529
14.155861 45.473526
14.146833 45.474751
14.138611 45.478474
14.131695 45.479778
14.128305 45.480415
14.122194 45.481556
14.102305 45.486111
14.086833 45.488724
14.076333 45.492500
14.064111 45.494751
14.050750 45.494720
14.036972 45.493362
14.028361 45.491222
14.013416 45.487499
13.999333 45.481335
13.989139 45.475250
13.977361 45.469696
13.968194 45.464054
13.958667 45.457554
13.956944 45.456390
13.947972 45.453724
13.936361 45.450417
13.927722 45.448860
13.923500 45.448112
13.911333 45.446194
13.901055 45.443333
13.888611 45.442360
13.873972 45.442833
13.862500 45.441582
13.851611 45.439194
13.845333 45.438221
13.844250 45.438057
13.840417 45.437473
13.829416 45.438526
13.816806 45.439610
13.808333 45.439861
13.803083 45.438889
13.792055 45.434666
13.783444 45.432167
13.777555 45.431889
13.759722 45.433140
13.752556 45.433140
13.745194 45.434971
13.740666 45.435333
13.732583 45.436279
13.722167 45.436359
13.711278 45.434166
13.703639 45.431446
13.696694 45.430054
13.690805 45.429306
13.683278 45.428612
13.673250 45.428780
13.667666 45.428860
13.658944 45.430279
13.655945 45.431362
13.648444 45.434029
13.638889 45.437752
13.633472 45.439724
13.628111 45.442196
13.619638 45.447945
13.614223 45.455193
13.609083 45.462002
13.605445 45.466446
13.601222 45.471832
13.600056 45.473667
13.598528 45.476028
13.597861 45.476833
13.590361 45.485695
13.590356 45.485699
13.591319 45.492775
13.590192 45.496693
13.592373 45.501911
13.596157 45.506634
13.594817 45.513073
13.586395 45.513725
13.581675 45.517262
13.577058 45.515762
13.572865 45.516544
13.570368 45.518887
13.570689 45.526207
13.567593 45.529705
13.568982 45.531742
13.572900 45.532112
13.587589 45.526058
13.593111 45.525936
13.603983 45.529125
13.605821 45.533894
13.610877 45.537899
13.616441 45.538689
13.636681 45.533199
13.641929 45.534218
13.649349 45.532906
13.657919 45.535458
13.661784 45.541779
13.666950 45.540977
13.704084 45.549271
13.718860 45.545261
13.724405 45.545586
13.729837 45.550495
13.735740 45.551506
13.740213 45.549797
13.744473 45.543514
13.748025 45.542973
13.751739 45.545860
13.759558 45.546131
13.761312 45.548836
13.759328 45.555061
13.753490 45.555435
13.747748 45.557861
13.746924 45.561089
13.751094 45.566711
13.743701 45.575588
13.733959 45.576046
13.732763 45.576977
13.725481 45.582661
13.704331 45.589787
13.702822 45.592350
13.704270 45.595516
13.718701 45.590828
13.721734 45.593048
13.721071 45.594471
