> -Z0
30.106945 59.897640
30.106945 59.897362
30.105280 59.897362
30.105280 59.897640
30.103058 59.897640
30.103058 59.897915
30.101944 59.897915
30.101944 59.898193
30.099722 59.898193
30.099722 59.898472
30.097500 59.898472
30.097500 59.898750
30.096945 59.898750
30.096945 59.899029
30.096390 59.899029
30.096390 59.899307
30.095833 59.899307
30.095833 59.899582
30.095278 59.899582
30.095278 59.901527
30.095833 59.901527
30.095833 59.901806
30.095278 59.901806
30.095278 59.902084
30.094166 59.902084
30.094166 59.901806
30.093056 59.901806
30.093056 59.902084
30.091944 59.902084
30.091944 59.902363
30.090277 59.902363
30.090277 59.902637
30.088612 59.902637
30.088612 59.903194
30.088058 59.903194
30.088055 59.903473
30.086945 59.903473
30.086945 59.903751
30.085278 59.903751
30.085278 59.904026
30.084167 59.904026
30.084167 59.904305
30.083055 59.904305
30.083055 59.904583
30.081388 59.904583
30.081388 59.904861
30.080278 59.904861
30.080278 59.905140
30.078611 59.905140
30.078611 59.905418
30.077497 59.905418
30.077497 59.905693
30.075834 59.905693
30.075834 59.905972
30.074722 59.905972
30.074722 59.906250
30.073055 59.906250
30.073055 59.906528
30.071943 59.906528
30.071943 59.906807
30.070278 59.906807
30.070278 59.907082
30.069166 59.907082
30.069166 59.907360
30.067499 59.907360
30.067499 59.907639
30.066389 59.907639
30.066389 59.907917
30.065277 59.907917
30.065277 59.908195
30.063612 59.908195
30.063612 59.908474
30.062498 59.908474
30.062498 59.908749
30.060833 59.908749
30.060833 59.909027
30.059723 59.909027
30.059723 59.909306
30.058056 59.909306
30.058056 59.909584
30.056944 59.909584
30.056944 59.909863
30.055279 59.909863
30.055277 59.910137
30.054167 59.910137
30.054167 59.910416
30.052502 59.910416
30.052502 59.910694
30.051390 59.910694
30.051390 59.910973
30.049723 59.910973
30.049723 59.911251
30.048611 59.911251
30.048611 59.911530
30.047501 59.911530
30.047501 59.911804
30.045834 59.911804
30.045834 59.912083
30.044722 59.912083
30.044722 59.912361
30.043056 59.912361
30.043056 59.912640
30.041945 59.912640
30.041945 59.912918
30.040277 59.912918
